小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
百维广场,(郫都红光)红光镇高店路西段226号,6729,2016年建成 ,板楼/塔板结合,2.5至4元/平米/月,成都励志一行物业服务有限公司,成都百维置业有限公司,3栋,1036户
东明街44号,(双流东升镇)东明街44号,6414,1995年建成 ,板楼/塔板结合,0.6至10元/平米/月,暂无信息,无,3栋,111户
古楠苑,(高新西高新西)古楠苑,6728,暂无信息 ,板楼,0.4元/平米/月,业主自管,暂无信息,6栋,324户
水务局小区,(温江温江老城)温泉路87号,6753,1995年建成 ,板楼,0.5元/平米/月,业主自筹物业,无开发商,7栋,267户
慧民雅居B区,(都江堰都江堰)彩虹大道北段247号,6734,2004年建成 ,塔楼/板楼,0.5至1.5元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",5栋,554户
北延新居C区,(新都大丰)北延新居C区,6544,2008年建成 ,塔板结合,1.1元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,6栋,951户
临江苑(温江),(温江温江老城)滨江路北段13号,6570,2005年建成 ,板楼,0.5元/平米/月,小区物业, 蓝光地产,2栋,56户
长顺路四段104号,(双流东升镇)东升街道长顺路四段104号,6388,1999年建成 ,塔板结合,0.15元/平米/月,暂无信息,0,2栋,67户
和谐家园,(温江温江老城)北街18号,6589,1997年建成 ,平房,0.5元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,1栋,50户
新丰苑,"(新都大丰)蓉北路二段65号, 丰安路60号",6753,1997年建成 ,板楼,0.5至0.8元/平米/月,暂无信息,无,8栋,39户
蜀青名苑,(青白江青白江)青华东路55号,6560,2009年建成 ,板楼,0.85至1.2元/平米/月,成都市嘉怡物业管理有限责任公司, 大理耀鹏房地产开发有限责任公司,3栋,311户
高桥B2,(都江堰都江堰)重庆路222号,6575,2003年建成 ,板楼,0.5元/平米/月,四川金都物业,四川新城置业有限公司,19栋,626户
九千生活区,(青白江青白江)青江西路65号,6520,1991年建成 ,板楼,0.5至1.2元/平米/月,欣欣物业有限公司,朝阳圣德置业有限责任公司,12栋,331户
丹桂苑(温江),(温江温江老城)柳台大道西段191号,6648,2004年建成 ,板楼/塔板结合,0.8元/平米/月,私人承办物业,无开发商,3栋,150户
鑫隆公寓(兴盛街),(都江堰都江堰)兴盛街141号,6539,2000年建成 ,塔楼/板楼,0.5至1元/平米/月,暂无信息,四川高达房产,5栋,80户
东环路66号,(新都新都城区)东环路66号,6574,1996年建成 ,平房,0.6元/平米/月,暂无信息,中建八局,1栋,18户
锦泰河畔,(新都保利公园)大观街36号,6602,2008年建成 ,塔楼/板楼,0.6至0.7元/平米/月,暂无信息,上海信达银泰置业有限公司,5栋,114户
静安大院,(温江温江老城)北街88号,6808,1999年建成 ,板楼,0.5元/平米/月,暂无信息, 蓝光地产,1栋,65户
长顺路四段168号,(双流东升镇)长顺路四段168号,6714,1996年建成 ,板楼,0.5元/平米/月,佳兆业物业集团有限公司,信阳创新置业有限公司,1栋,41户
江西巷25号,(郫都郫县城区)江西巷25号,6401,1995年建成 ,板楼,1元/平米/月,成都世纪城物业管理有限公司, 重庆汇东房地产开发有限公司,2栋,107户
佳瑞苑,(都江堰都江堰)瑞莲巷6号,6301,2004年建成 ,塔楼/板楼,0.5至4元/平米/月,四川保泰物业,四川建筑公司,2栋,27户
碧水馨居,(温江温江老城)新南路238号,6812,2001年建成 ,板楼,0.4至0.6元/平米/月,暂无信息,合肥蓝光盛景置业有限公司,13栋,841户
国龙花园,(青白江青白江)怡湖东路381号,6375,1999年建成 ,板楼,0.5至0.6元/平米/月,嘉里建设成都,成都置信集团,20栋,541户
中国烽火航天机械厂,(温江温江老城)长安路198号,6420,1994年建成 ,板楼,0.5至0.8元/平米/月,小区物管,蓝光地产,23栋,680户
金巴黎,(龙泉驿阳光城)锦绣路176号,6557,2003年建成 ,塔板结合,1元/平米/月,新恒基物业管理有限公司,保定新新房地产开发有限公司,4栋,846户
康桥水乡C区,(都江堰都江堰)学府路一段康桥水乡C区,6373,2001年建成 ,板楼/塔板结合,0.5至0.8元/平米/月,成都成沁,成都利贞实业有限公司,12栋,403户
堰锦家园,(都江堰都江堰)光明街278号,6636,2001年建成 ,板楼/塔板结合/平房,0.5至1.5元/平米/月,暂无信息,四川建筑公司,9栋,256户
新生巷3号,(都江堰都江堰)新生巷3号,6427,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,15户
毗河雅苑,(新都大丰)毗河段98号,6536,2000年建成 ,板楼,0.5元/平米/月,成都长居物业管理有限公司,成都复地置业,8栋,436户
景环路164号,(都江堰都江堰)景环路164号,6592,2004年建成 ,板楼,0.3至0.5元/平米/月,九州物业管理有限公司,四川长富集团,3栋,200户
玉兰园,(都江堰都江堰)玉垒北街28号,6620,2002年建成 ,塔楼/板楼,0.5元/平米/月,暂无信息,上海东上海联合置业有限公司,8栋,284户
岷山公寓,(都江堰都江堰)蒲阳路819号,6516,2010年建成 ,板楼,0.5元/平米/月,四川都江堰岷鑫物业管理有限公司,都江堰根园房地产开发有限公司,1栋,40户
建设中路366号,(简阳城西片区)建设中路366号,6650,1995年建成 ,塔板结合,0.5元/平米/月,四川景灿物业,简阳京新房地产开发有限公司,3栋,134户
金强柳浪湾1号院,(温江温江大学城)柳南1路93号,6774,1989年建成 ,板楼,0.5元/平米/月,蓝光嘉宝物业金管家,合肥蓝光盛景置业有限公司,2栋,154户
东顺小区,(郫都郫县城区)东顺巷59号,6576,2000年建成 ,板楼/塔板结合,0.5元/平米/月,业主自筹物业,无开发商,4栋,66户
水润尚居,(彭州彭州)四通北街80号,6415,2000年建成 ,塔板结合,1.5元/平米/月,成都昌兴物业管理有限公司, 太原俊景房地产开发有限公司,1栋,231户
简约生活,(郫都郫县城区)成灌西路170号,6691,2005年建成 ,板楼,0.5至0.9元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,3栋,128户
华阳街道正东上街164号,(天府新区南湖)华阳街道正东上街164号,6439,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,1户
万春东路10号,(温江温江老城)柳城镇万春东路10号,6522,1999年建成 ,板楼,暂无信息,业主自管,蓝光地产,8栋,158户
万象公寓,(双流东升镇)西安路二段13号,6460,2010年建成 ,板楼,1.5元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,1栋,71户
星月湾,(金堂金堂)赵镇西家坝北二横道,6531,2014年建成 ,塔楼,1.2至1.3元/平米/月,四川金房物业服务有限公司,四川金源大鹏房地产开发有限公司,3栋,1152户
涤纶厂家属院,(温江温江老城)来凤路158号,6453,1990年建成 ,板楼,0.6至6元/平米/月,暂无信息, 太原俊景房地产开发有限公司,12栋,459户
东泰路115号,(双流东升镇)东泰路115号,6466,1997年建成 ,塔板结合,1元/平米/月,单位自管物业,单位管理,2栋,60户
人民银行家属院,(郫都郫县城区)新南街255号,6793,1998年建成 ,板楼,0.5元/平米/月,成都中天盛鸿物业服务有限公司,一方置业,5栋,60户
佳禾雅筑,(温江温江老城)温江区泰康东路85号,6674,2003年建成 ,板楼,0.6元/平米/月,暂无信息,合肥蓝光盛景置业有限公司,3栋,90户
炉霍林业局,(双流双流城区)广都大道258号,6657,1998年建成 ,板楼,10元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,6栋,132户
天生路94号,(龙泉驿航天)天生路94号,6779,1998年建成 ,板楼,暂无信息,无物业管理服务,成都天盛房地产开发有限公司,2栋,152户
长顺路二段18号,(双流东升镇)长顺路二段18号,6503,1998年建成 ,板楼,0.4元/平米/月,暂无信息,单位自建,2栋,37户
和宁苑,(温江温江老城)和宁街64号,6427,1999年建成 ,板楼/塔板结合/平房,1.9元/平米/月,无物业管理服务,无,2栋,84户
外南街28号,(新都新都城区)外南街28号,6673,暂无信息 ,板楼,0.3元/平米/月,暂无信息,暂无信息,1栋,40户
金桂花园(温江),(温江温江老城)柳城大道西段75号,6429,2000年建成 ,塔楼/板楼,0.8元/平米/月,暂无信息,无开发商,12栋,352户
湖滨路352号,(新都新都城区)湖滨路352号,6827,2002年建成 ,板楼,暂无信息,暂无信息,暂无信息,2栋,39户
桂湖东路112号,(新都新都城区)桂湖东路112号,6373,2016年建成 ,板楼,1元/平米/月,成都市新都民生物业管理有限公司, 陕西亿润经贸有限公司 ,3栋,94户
德源第一城,(郫都郫县城区)德源镇德源南路一段229号（稻香路口旁),6703,2012年建成 ,塔楼,1.5至16元/平米/月,成都成房物业有限公司,"成都成房置业有限公司,成房置业有限公司",5栋,1142户
桂湖东路182号院,(新都新都城区)桂湖东路182号,6365,暂无信息 ,未知类型,1.2元/平米/月,暂无信息,暂无信息,2栋,38户
濛阳印象,(彭州彭州)濛阳镇建业中路366号,6770,2017年建成 ,塔楼/板楼,1.8元/平米/月,四川川铁物业管理有限公司,成都翰德置业有限公司,13栋,1914户
双柏苑,(高新西高新西)双柏苑,6744,暂无信息 ,板楼,0.3元/平米/月,业主自管,暂无信息,4栋,199户
九武公馆,(简阳石桥片区)贾家镇建设路172号,6691,2017年建成 ,塔板结合,1元/平米/月,四川静美物业服务有限公司,四川九武房地产有限公司,1栋,154户
景德一巷2号,(郫都郫县城区)景德一巷2号,6375,1999年建成 ,板楼/塔板结合,30元/平米/月,郫县金海岸物业管理有限公司,郫县三利投资有限公司,6栋,114户
天缘路三段584号,(新都毗河)天缘路三段584号,6534,2008年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
郫都区卫生局家属院,(郫都郫县城区)望丛中路516号,6383,1997年建成 ,塔楼/板楼,0.8元/平米/月,自主管理，没有物业公司,政府安置房,4栋,102户
泽润家园,(都江堰都江堰)通锦路330号,6676,2004年建成 ,板楼,0.5元/平米/月,瑞康物业管理有限公司,大庆天海投资管理有限公司,5栋,78户
怡家新城小区,(都江堰都江堰)玉带新街54号,6505,2008年建成 ,塔板结合,1元/平米/月,暂无信息,无,3栋,105户
健生翡翠港,(青白江青白江)金渊路319号,6598,1999年建成 ,塔板结合,1元/平米/月,沈阳德健物业管理有限公司,四川欣欣置业有限公司,7栋,1009户
鑫源锦城花园,(温江温江老城)黄金路238号,6574,2003年建成 ,板楼,0.7至1元/平米/月,成都中能物业管理有限责任公司,成都锦城佳业房地产开发有限公司,18栋,608户
路苑小区,(温江温江老城)柳城五一路152号,6617,1998年建成 ,塔板结合,8元/平米/月,小区物业,暂无信息,14栋,88户
锦水苑(新都),(新都毗河)兴城大道955号,6175,2009年建成 ,板楼/塔板结合,1元/平米/月,私人承办物业,成都利贞实业有限公司,49栋,1556户
菜市巷121号,(新都新都城区)菜市巷121号,6574,1992年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,46户
桑园二巷16号,(新都新都城区)桑园二巷16号,6703,1994年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,34户
新光路3号,(新都新都城区)新光路3号,6740,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,87户
勤俭巷96号,(新都新都城区)勤俭巷96号,6490,1995年建成 ,板楼,0.4元/平米/月,暂无信息,单位自建,1栋,21户
东街238号,(新都新都城区)东街238号,6718,1998年建成 ,平房,暂无信息,无物业管理服务,暂无信息,2栋,36户
下南街9号,(新都新都城区)下南街9号,6355,1988年建成 ,塔板结合,30元/平米/月,香港英联华物业顾问有限公司,香港永新集团,2栋,32户
桑园街102号,(新都新都城区)桑园街102,6413,1996年建成 ,板楼/平房,0.5至0.8元/平米/月,暂无信息,中粮集团成都分公司,3栋,75户
紫瑞街208号,(新都新都城区)紫瑞街208号,6452,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,240户
新新小区,(新都新都城区)新新路159号,6407,2005年建成 ,板楼,2.5元/平米/月,暂无信息,暂无信息,19栋,667户
大南街69号,(温江温江老城)大南街,6390,1979年建成 ,板楼,0.8元/平米/月,成都千和物业管理有限公司,成都万隆房地产开发有限公司,5栋,118户
文武路81号,(温江温江老城)文武路81号,6832,2000年建成 ,板楼,0.8元/平米/月,小区物管处,暂无信息,1栋,21户
万春东路52号,(温江温江老城)万春东路52号,6745,暂无信息 ,平房,暂无信息,暂无信息,暂无信息,1栋,24户
粟苑,(温江温江老城)长安路110号,6522,2002年建成 ,板楼,5元/平米/月,成都置信合达联行物业有限公司,合肥蓝光盛景置业有限公司,1栋,60户
柳航小区,(温江温江老城)柳城大道东段103号,6502,2000年建成 ,板楼/塔板结合,0.5元/平米/月,私人承办物业,无开发商,5栋,111户
来凤路52号,(温江温江老城)来凤路52号,6544,1995年建成 ,板楼/塔板结合,0.4至1元/平米/月,暂无信息,暂无信息,8栋,117户
大同上郡,(温江国色天乡)春江路89号,6588,2007年建成 ,塔板结合,暂无信息,私人承办物业,无开发商,9栋,982户
598兵工医院家属区,(郫都郫县城区)何公路69号,6412,1998年建成 ,板楼,0.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,4栋,148户
东泰路115号,(双流东升镇)东泰路115号,6466,1997年建成 ,塔板结合,1元/平米/月,单位自管物业,单位管理,2栋,60户
人民银行家属院,(郫都郫县城区)新南街255号,6793,1998年建成 ,板楼,0.5元/平米/月,成都中天盛鸿物业服务有限公司,一方置业,5栋,60户
外南街28号,(新都新都城区)外南街28号,6673,暂无信息 ,板楼,0.3元/平米/月,暂无信息,暂无信息,1栋,40户
佳禾雅筑,(温江温江老城)温江区泰康东路85号,6674,2003年建成 ,板楼,0.6元/平米/月,暂无信息,合肥蓝光盛景置业有限公司,3栋,90户
天生路94号,(龙泉驿航天)天生路94号,6779,1998年建成 ,板楼,暂无信息,无物业管理服务,成都天盛房地产开发有限公司,2栋,152户
长顺路二段18号,(双流东升镇)长顺路二段18号,6503,1998年建成 ,板楼,0.4元/平米/月,暂无信息,单位自建,2栋,37户
清泰路二段96号,(双流东升镇)清泰路二段96号,6613,2000年建成 ,塔板结合,10元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,2栋,23户
西蜀御景二期,(崇州崇州)鹤兴路372号,6834,2018年建成 ,塔板结合,1.2元/平米/月,西蜀物业管理有限公司,四川汇佳房地产开发有限公司,5栋,149户
同心苑(龙泉驿),(龙泉驿阳光城)同安镇同心街48号,6642,1999年建成 ,板楼,0.45元/平米/月,暂无信息,无开发商,2栋,51户
和宁苑,(温江温江老城)和宁街64号,6427,1999年建成 ,板楼/塔板结合/平房,1.9元/平米/月,无物业管理服务,无,2栋,84户
桂湖东路一巷3号,(新都新都城区)桂湖东路一巷3号,6518,1994年建成 ,板楼,1元/平米/月,小区物业, 陕西亿润经贸有限公司 ,3栋,41户
云溪路164号,(温江温江老城)云溪路164号,6755,2003年建成 ,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,54户
黄金苑,"(青羊外光华)黄金苑七组88号, 黄金路89号",6828,2000年建成 ,平房,1至5元/平米/月,成都市自理物业管理有限公司,"成都成房置业有限公司,成房置业有限公司",8栋,348户
红泰静水楼台,(新津新津)岷江大道三段65号,6624,1994年建成 ,板楼/塔板结合,0.6至1.2元/平米/月,小区物业,四川红泰房地产开发有限公司,16栋,143户
唐公馆,(郫都郫县城区)文山路19号,6662,2005年建成 ,塔板结合,0.8元/平米/月,成都嘉宝物业,成都置信集团,9栋,328户
华阳街道正东上街164号,(天府新区南湖)华阳街道正东上街164号,6439,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,1户
星月湾,(金堂金堂)赵镇西家坝北二横道,6531,2014年建成 ,塔楼,1.2至1.3元/平米/月,四川金房物业服务有限公司,四川金源大鹏房地产开发有限公司,3栋,1152户
万象公寓,(双流东升镇)西安路二段13号,6460,2010年建成 ,板楼,1.5元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,1栋,71户
金桂花园(温江),(温江温江老城)柳城大道西段75号,6429,2000年建成 ,塔楼/板楼,0.8元/平米/月,暂无信息,无开发商,12栋,352户
简约生活,(郫都郫县城区)成灌西路170号,6691,2005年建成 ,板楼,0.5至0.9元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,3栋,128户
涤纶厂家属院,(温江温江老城)来凤路158号,6453,1990年建成 ,板楼,0.6至6元/平米/月,暂无信息, 太原俊景房地产开发有限公司,12栋,459户
万春东路10号,(温江温江老城)柳城镇万春东路10号,6522,1999年建成 ,板楼,暂无信息,业主自管,蓝光地产,8栋,158户
太升北路26号,(青羊草市街)太升北路26号,6619,1994年建成 ,板楼,0.8元/平米/月,业主自筹物业,无开发商,1栋,101户
老交校家属院,(温江温江老城)柳城镇麻市街221号,6413,1996年建成 ,板楼/塔板结合,0.5至1.5元/平米/月,四川省蓝光嘉宝物业,恒大集团,8栋,96户
贾家巷43号,(双流东升镇)贾家巷43号,6816,1998年建成 ,板楼,0.2元/平米/月,暂无信息,暂无信息,3栋,40户
迎新苑,(温江温江老城)迎晖路177号,6560,2000年建成 ,板楼,0.7元/平米/月,暂无信息,暂无信息,1栋,17户
棠湖西路一段81号,(双流东升镇)棠湖西路一段81号,6803,1998年建成 ,板楼,暂无信息,暂无信息,无,2栋,20户
文化馆小区,(郫都郫县万达)北大街116号,6804,1973年建成 ,板楼,0.5元/平米/月,中铁二院成都物业服务有限公司,山西中中房地产开发有限公司,2栋,67户
和宁苑,(温江温江老城)和宁街64号,6427,1999年建成 ,板楼/塔板结合/平房,1.9元/平米/月,无物业管理服务,无,2栋,84户
东泰路115号,(双流东升镇)东泰路115号,6466,1997年建成 ,塔板结合,1元/平米/月,单位自管物业,单位管理,2栋,60户
人民银行家属院,(郫都郫县城区)新南街255号,6793,1998年建成 ,板楼,0.5元/平米/月,成都中天盛鸿物业服务有限公司,一方置业,5栋,60户
外南街28号,(新都新都城区)外南街28号,6673,暂无信息 ,板楼,0.3元/平米/月,暂无信息,暂无信息,1栋,40户
同心苑(龙泉驿),(龙泉驿阳光城)同安镇同心街48号,6642,1999年建成 ,板楼,0.45元/平米/月,暂无信息,无开发商,2栋,51户
上升街55号,(新都新都城区)上升街55号,6755,2000年建成 ,板楼,0.25元/平米/月,业主自管,暂无信息,3栋,16户
598兵工医院家属区,(郫都郫县城区)何公路69号,6412,1998年建成 ,板楼,0.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,4栋,148户
政协家属院,(郫都郫县城区)包家巷77号,6387,2000年建成 ,板楼,0.5元/平米/月,暂无信息,物业和度娘都不知道开发商名称,2栋,34户
清泰路二段96号,(双流东升镇)清泰路二段96号,6613,2000年建成 ,塔板结合,10元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,2栋,23户
西蜀御景二期,(崇州崇州)鹤兴路372号,6834,2018年建成 ,塔板结合,1.2元/平米/月,西蜀物业管理有限公司,四川汇佳房地产开发有限公司,5栋,149户
炉霍林业局,(双流双流城区)广都大道258号,6657,1998年建成 ,板楼,10元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,6栋,132户
长顺路二段18号,(双流东升镇)长顺路二段18号,6503,1998年建成 ,板楼,0.4元/平米/月,暂无信息,单位自建,2栋,37户
天生路94号,(龙泉驿航天)天生路94号,6779,1998年建成 ,板楼,暂无信息,无物业管理服务,成都天盛房地产开发有限公司,2栋,152户
长顺路二段18号,(双流东升镇)长顺路二段18号,6503,1998年建成 ,板楼,0.4元/平米/月,暂无信息,单位自建,2栋,37户
白河路二段34号,(双流东升镇)白河路二段34号,6538,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
云溪路5号,(温江温江老城)云溪路5号,6810,暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,3栋,18户
同心苑(龙泉驿),(龙泉驿阳光城)同安镇同心街48号,6642,1999年建成 ,板楼,0.45元/平米/月,暂无信息,无开发商,2栋,51户
上升街55号,(新都新都城区)上升街55号,6755,2000年建成 ,板楼,0.25元/平米/月,业主自管,暂无信息,3栋,16户
清泰路二段96号,(双流东升镇)清泰路二段96号,6613,2000年建成 ,塔板结合,10元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,2栋,23户
西蜀御景二期,(崇州崇州)鹤兴路372号,6834,2018年建成 ,塔板结合,1.2元/平米/月,西蜀物业管理有限公司,四川汇佳房地产开发有限公司,5栋,149户
政协家属院,(郫都郫县城区)包家巷77号,6387,2000年建成 ,板楼,0.5元/平米/月,暂无信息,物业和度娘都不知道开发商名称,2栋,34户
598兵工医院家属区,(郫都郫县城区)何公路69号,6412,1998年建成 ,板楼,0.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,4栋,148户
庆丰街95号,(温江温江老城)庆丰街95号,6517,1999年建成 ,板楼,暂无信息,暂无信息,未知,2栋,53户
106地质队生活小区,(温江温江老城)柳城镇东大街47号,6810,1997年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,2栋,133户
宏业小区,(龙泉驿航天)龙柏路静和街172号,6798,1999年建成 ,板楼,0.5元/平米/月,暂无信息,上海航天宝都置业有限公司,1栋,60户
双流区西安路110号,(双流东升镇)双流区西安路110号,6430,2005年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
帝豪公司宿舍,(双流东升镇)三强北路二段20号,6710,2000年建成 ,塔楼,暂无信息,自持物业,暂无信息,1栋,10户
星光东路1号,(龙泉驿航天)星光东路1号,6758,1999年建成 ,板楼,0.5至0.8元/平米/月,暂无信息,东山置业公司,2栋,50户
文武路5号,(温江温江老城)文武路5号,6527,1997年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,1栋,23户
新达物业,(新都新都城区)三堰巷22号,6643,2000年建成 ,板楼/塔板结合,0.3至30元/平米/月,成都亿新物业管理有限公司,成都置信集团,4栋,13户
建设路46号,(龙泉驿龙泉驿城区)建设路46号,6823,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,3栋,52户
体育广场A区,(温江温江老城)柳城大道西段39号,6710,2000年建成 ,板楼/塔板结合,0.5至1.2元/平米/月,业主自管,绥芬河蓝洋投资有限公司,3栋,102户
南大街327号附1,(郫都郫县城区)南大街327号附1,6387,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,12户
三九八新一区,(郫都郫县万达)长清路22号,6399,1995年建成 ,板楼,暂无信息,兴诚鑫置业有限公司, 重庆汇东房地产开发有限公司,6栋,102户
食研院小区,(温江温江老城)南浦路西段397号,6511,1990年建成 ,板楼/平房,20元/平米/月,暂无信息,合肥蓝光盛景置业有限公司,7栋,140户
桂湖东路182号院,(新都新都城区)桂湖东路182号,6365,暂无信息 ,未知类型,1.2元/平米/月,暂无信息,暂无信息,2栋,38户
景德一巷2号,(郫都郫县城区)景德一巷2号,6375,1999年建成 ,板楼/塔板结合,30元/平米/月,郫县金海岸物业管理有限公司,郫县三利投资有限公司,6栋,114户
九武公馆,(简阳石桥片区)贾家镇建设路172号,6691,2017年建成 ,塔板结合,1元/平米/月,四川静美物业服务有限公司,四川九武房地产有限公司,1栋,154户
天缘路三段584号,(新都毗河)天缘路三段584号,6534,2008年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
濛阳印象,(彭州彭州)濛阳镇建业中路366号,6770,2017年建成 ,塔楼/板楼,1.8元/平米/月,四川川铁物业管理有限公司,成都翰德置业有限公司,13栋,1914户
双柏苑,(高新西高新西)双柏苑,6744,暂无信息 ,板楼,0.3元/平米/月,业主自管,暂无信息,4栋,199户
德源第一城,(郫都郫县城区)德源镇德源南路一段229号（稻香路口旁),6703,2012年建成 ,塔楼,1.5至16元/平米/月,成都成房物业有限公司,"成都成房置业有限公司,成房置业有限公司",5栋,1142户
丽都滨河南区,(天府新区南区仁寿)先锋路2段212号,6529,2005年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
紫瑞街一巷11号,(新都新都城区)紫瑞街一巷11号,6603,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,48户
濛阳印象,(彭州彭州)濛阳镇建业中路366号,6770,2017年建成 ,塔楼/板楼,1.8元/平米/月,四川川铁物业管理有限公司,成都翰德置业有限公司,13栋,1914户
双柏苑,(高新西高新西)双柏苑,6744,暂无信息 ,板楼,0.3元/平米/月,业主自管,暂无信息,4栋,199户
九武公馆,(简阳石桥片区)贾家镇建设路172号,6691,2017年建成 ,塔板结合,1元/平米/月,四川静美物业服务有限公司,四川九武房地产有限公司,1栋,154户
景德一巷2号,(郫都郫县城区)景德一巷2号,6375,1999年建成 ,板楼/塔板结合,30元/平米/月,郫县金海岸物业管理有限公司,郫县三利投资有限公司,6栋,114户
天缘路三段584号,(新都毗河)天缘路三段584号,6534,2008年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
桂湖东路182号院,(新都新都城区)桂湖东路182号,6365,暂无信息 ,未知类型,1.2元/平米/月,暂无信息,暂无信息,2栋,38户
郫都区卫生局家属院,(郫都郫县城区)望丛中路516号,6383,1997年建成 ,塔楼/板楼,0.8元/平米/月,自主管理，没有物业公司,政府安置房,4栋,102户
第二人民医院家属区,(都江堰都江堰)学府路46号,6725,2000年建成 ,塔楼,10元/平米/月,暂无信息,融创嘉业,2栋,36户
城香首府,(青白江青白江)朝阳北路45号,6746,2000年建成 ,塔板结合,0.8至1元/平米/月,业主自管, 深圳市万龙靓投资发展有限公司,11栋,583户
茶树街10号院,(青白江青白江)茶树街10号,6594,暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,13户
鱼凫路212号院,(温江温江老城)鱼凫路212号,6601,2000年建成 ,板楼,0.5元/平米/月,暂无信息,恒大集团,2栋,56户
地税局家属区院落,(都江堰都江堰)柏条河南路中段地税局家属区院落,6648,2000年建成 ,板楼/塔板结合,0.5元/平米/月,成都干道恒兴物业管理公司,上海绿地城北置业有限公司,3栋,60户
云溪路164号,(温江温江老城)云溪路164号,6755,2003年建成 ,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,54户
黄金苑,"(青羊外光华)黄金苑七组88号, 黄金路89号",6828,2000年建成 ,平房,1至5元/平米/月,成都市自理物业管理有限公司,"成都成房置业有限公司,成房置业有限公司",8栋,348户
红泰静水楼台,(新津新津)岷江大道三段65号,6624,1994年建成 ,板楼/塔板结合,0.6至1.2元/平米/月,小区物业,四川红泰房地产开发有限公司,16栋,143户
白衣下街76号,(双流东升镇)白衣下街76号,6685,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,14户
望丛中路484号,(郫都郫县城区)望丛中路484号,6576,2000年建成 ,板楼,暂无信息,中铁二院成都物业服务有限公司,河南中中置业有限公司,2栋,27户
唐公馆,(郫都郫县城区)文山路19号,6662,2005年建成 ,塔板结合,0.8元/平米/月,成都嘉宝物业,成都置信集团,9栋,328户
滨河苑东区,(郫都红光)河滨街1号,6767,2004年建成 ,板楼,暂无信息,广州市宁骏物业管理有限公司,暂无信息,1栋,40户
樱花园(新都区),(新都新都城区)香园街1号,6814,2003年建成 ,板楼,0.6元/平米/月,蜀馨物业,暂无信息,2栋,30户
依云岭,(金堂金堂)关岭大道555号附1,6585,2003年建成 ,塔楼/板楼,1.5至1.8元/平米/月,暂无信息,蓝光地产,11栋,2298户
宝生街160号,(郫都郫县城区)宝生街160号,6632,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,37户
柳岸锦城,(温江温江大学城)杨柳河西路南段600号,6358,2004年建成 ,塔楼/塔板结合,0.5元/平米/月,暂无信息,海科投资有限公司,13栋,1714户
南大街75号,(郫都郫县城区)南大街75号,6642,1998年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,40户
马尔康中学都江堰住宅小区,(都江堰都江堰)景环路189号,6514,2008年建成 ,塔板结合,8元/平米/月,南京朗诗物业有限公司,暂无信息,3栋,66户
金牛座(青白江),(青白江青白江)新河路92号,6663,2008年建成 ,塔板结合,1.8元/平米/月,暂无信息,成都置信集团,1栋,166户
