小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
茂林雅轩,(广信区旭日商圈)旭日北大道1号,5391,板楼/平房,1.2元/平米/月,暂无信息,上饶市柳桥房地产开发有限公司,22栋,416户
农副产品市场,(广信区上饶高铁站商圈)石狮乡货场路2号,4703,板楼,暂无信息,暂无信息,暂无信息,6栋,250户
中山西路95号,(信州区亿升商圈)中山西路95号,5621,板楼,1元/平米/月,无物业管理服务,开发区建设集团建设开发分公司开发,1栋,10户
信江中路138号,(信州区亿升商圈)信江中路138号,5315,平房,暂无信息,暂无信息,暂无信息,1栋,158户
林家巷8号,(信州区亿升商圈)林家巷8号,5672,塔板结合,0.8元/平米/月,上饶鼎盛物业管理公司,德信集团有限公司,1栋,42户
信江西路54号,(信州区亿升商圈)信江西路54号,5423,板楼,暂无信息,暂无信息,暂无信息,1栋,48户
解放路15号,(信州区亿升商圈)解放路15号,5208,板楼,暂无信息,润丰物业管理有限公司,彭浦镇政府,1栋,114户
江西致仁宝业,(广信区旭日商圈)七六大道江西致仁宝业,5810,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
八角塘西巷15号,(信州区亿升商圈)八角塘西巷15号,5477,板楼,0.5元/平米/月,万福物业,0,1栋,24户
上饶县交通运输局,(广信区旭日商圈)旭日南大道37号,5196,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
水南街75号,(信州区水南街商圈)水南街75号,5697,塔板结合,暂无信息,暂无信息,暂无信息,1栋,12户
二建宿舍,(信州区亿升商圈)胜利路二建宿舍,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,无开发公司,1栋,84户
上饶国际家居城,(广信区旭日商圈)三清山西大道11号,5142,板楼/塔板结合,1元/平米/月,暂无信息,上饶市龙都置业有限公司,12栋,217户
旭日南大道81号,(广信区旭日商圈)旭日南大道81号,5757,未知类型,暂无信息,暂无信息,暂无信息,3栋,39户
相府路19号,(信州区亿升商圈)相府路19号,5689,板楼,暂无信息,无物业管理服务,无,1栋,42户
前府路28号,(广信区七六路商圈)前府路28号,5345,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
火车站站前路3号,(信州区亿升商圈)火车站站前路3号,5569,塔板结合,暂无信息,新力物业集团有限公司,上饶市万和置业有限公司,1栋,56户
红芽楼,(信州区亿升商圈)渡口南街红芽楼,5309,塔楼,暂无信息,钟灵物业有限公司,上饶市龙都置业有限公司,1栋,24户
东升路13号,(广信区旭日商圈)东升路13号,5859,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
天地豪园,(广丰区广丰区)源溪路天地豪园,5280,塔楼,1元/平米/月,暂无信息,晋中开发区房地产开发有限公司,47栋,337户
水南安利小区,(广丰区广丰区)小康西路水南安利小区,4909,未知类型,暂无信息,暂无信息,暂无信息,5栋,288户
水南街308号,(信州区水南街商圈)水南街308号,5661,平房,1元/平米/月,盛全物业服务股份有限公司上饶县分公司,上海丞泰房地产开发有限公司,8栋,194户
公路小区,(弋阳县)方志敏大道中路23号,5788,未知类型,暂无信息,暂无信息,暂无信息,16栋,272户
