小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
市局家属院(闵家桥),(城关区五泉广场)闵家桥161-175号,13006,板楼,0.4至1.5元/平米/月,兰州安达物业管理有限公司,安达置业公司,3栋,151户
天庆天诚丽舍,(城关区黄河北)佛慈大街天庆天诚丽舍,11749,板楼,1.4至1.7元/平米/月,天庆物业,兴隆县天庆房地产开发有限公司,2栋,828户
交发建交运顺居综合住宅楼,(城关区雁滩高新区)雁南路交发建交运顺居综合住宅楼,12695,板楼,暂无信息,暂无信息,暂无信息,1栋,248户
城建小区,(安宁区交大)安宁东路486-490号,11924,板楼,暂无信息,暂无信息,暂无信息,1栋,54户
甘肃省电力公司住宅小区,"(七里河区建工局)体育街13-27号, 体育街33号, 体育街37号, 体育街45-49号",14073,板楼/塔板结合,0.5至1元/平米/月,兰州达能电力物业管理有限公司,电力集团,7栋,1006户
天茂园小区,(七里河区建工局)小西湖西街19-45号,11963,板楼,0.45至1元/平米/月,甘肃齐建物业管理有限公司,高建集团,4栋,348户
金城关小区,(城关区黄河北)金城路36-306号,10040,板楼,0.35至1.3元/平米/月,甘肃金万达物业管理有限公司 , 陕西亿润经贸有限公司 ,3栋,283户
电力修造厂东小区（光华街）,(七里河区金港城)光华街2-54号,14158,板楼/塔板结合,0.3至0.68元/平米/月,兰州环胜物业有限公司,电力集团,10栋,522户
德林小区,(城关区火车站)城关天水南路185-205号,12275,板楼,0.3元/平米/月,兰州城关物业服务集团有限公司, 陕西亿润经贸有限公司 ,2栋,268户
徐家巷小区,"(城关区西关南关)徐家巷1-15号, 徐家巷26-40号",12649,板楼/塔板结合,0.5至0.6元/平米/月,暂无信息,单位自建,6栋,266户
安馨家园,(安宁区刘家堡)建宁西路1958-1986号,12964,板楼/塔板结合,1至1.7元/平米/月,万成物业有限公司,保定你我他投资有限公司,4栋,837户
中集青春里,(安宁区莫高大道)莫高大道8号附1-附5,12690,板楼,1.5至1.65元/平米/月,甘肃中集物业管理有限责任公司,上海中集菁鹰置业有限公司,2栋,449户
丰宝佳苑,(安宁区安宁高新区)枣林路1853-1871号,13360,板楼,0.8至1.7元/平米/月,兰州银安物业管理有限公司,兰州永通房屋开发有限公司,9栋,1441户
又一城尚座,(安宁区交大)培黎西街272号,13081,板楼,1.7元/平米/月,无物业管理服务,无,1栋,224户
蘭亭雅居,"(安宁区刘家堡)安宁西路475号, 安宁西路475之1-475之6号",12125,板楼/塔板结合,1.5至1.7元/平米/月,暂无信息,甘肃力展房地产开发有限公司,3栋,409户
泰亨小区（何家庄东街/平凉路）,"(城关区火车站)平凉路325-331号, 何家庄东街33-55号, 何家庄东街4-6号",13393,板楼/塔板结合,0.2至5元/平米/月,金轮物业,天津亨达泰投资发展有限公司,8栋,603户
万盛大厦,(城关区西关南关)庆阳路450-452号,12934,塔楼/塔板结合,1.5元/平米/月,齐建物业,兰州亚太西部置业有限公司,2栋,520户
加莱·印象,"(安宁区刘家堡)安宁西路571号, 街坊路1002-1010号",12344,板楼/塔板结合,1.6至1.7元/平米/月,兰州东安物业服务有限公司, 合肥万科瑞翔地产有限公司,6栋,1140户
乾昌大厦,(城关区西关南关)酒泉路374号,12110,塔板结合,1.7元/平米/月,兰州东立物业管理公司,安达置业公司,1栋,253户
兰石安一小区,"(七里河区西站)敦煌路7-79号, 敦煌路93-115号",12970,板楼/塔板结合/平房,0.3至0.5元/平米/月,兰州兰石物业服务有限公司,兰州兰石房地产开发有限公司,11栋,991户
省建设研究院家属院北区,(城关区西关南关)鼓楼巷36-42号,13520,板楼,0.8元/平米/月,兰州安达物业管理有限公司,安达祥和置业公司,1栋,69户
弘泰明苑,(城关区火车站)红星巷51附1号-51附10号,13423,板楼,1.5元/平米/月,兰州兰石物业服务有限公司,杭州兰里房产开发公司,2栋,282户
广福家园,"(城关区东部)嘉峪关西路468号, 嘉峪关西路468附1-468附4号",12788,塔板结合,1.4元/平米/月,兰州东立物业管理公司, 陕西亿润经贸有限公司 ,1栋,544户
亚太名苑,(城关区西关南关)中山路156号,13543,板楼,1.5元/平米/月,兰州金东建物业有限公司,兰州永通房屋开发有限公司,1栋,200户
田园小区,(七里河区西站)七里河97-119号,12856,板楼,0.8元/平米/月,暂无信息,甘肃欣荣置业有限公司,1栋,621户
德胜大厦,(城关区西关南关)永昌路279号,12434,平房,1.7元/平米/月,兰州东立物业管理公司, 太原俊景房地产开发有限公司,1栋,132户
市环保局家属院（张家园）,(城关区西关南关)张家园58-64号,12310,板楼,0.5至10元/平米/月,暂无信息,暂无信息,2栋,48户
甘肃联合大学家属院,(城关区万达大润发)南河路2192-2212号,12066,板楼,0.5元/平米/月,齐建物业,四川省聚丰房地产开发有限责任公司3,2栋,204户
艾黎小区,"(七里河区吴家园)建兰路214-216号, 建兰路224-228号, 建兰路240-244号, 建兰路252号",13462,板楼,0.5元/平米/月,兰州安达物业管理有限公司,甘肃时代置业有限责任公司,4栋,159户
任家庄小区,(七里河区仁恒美林郡)任家庄30-40号,12131,板楼,0.4至1.5元/平米/月,兰州银安物业管理有限公司,兰州友信置业有限公司,3栋,100户
伊真大厦,(城关区西关南关)甘南路701附1号,12962,塔楼,8元/平米/月,兰州银安物业管理有限公司,西程开发公司,1栋,29户
万盛花园,(城关区兰大盘旋路)定西路7-19号,13168,板楼,1.2元/平米/月,兰州银安物业管理有限公司,置业公司宜兴公司,1栋,191户
兰州水泵厂家属院（民主西路）,"(城关区东方红广场)民主东路186-188号, 民主东路228-262号",13168,板楼/塔板结合,0.5至5元/平米/月,无物业管理服务,兰州鸿安置业有限公司,4栋,543户
兰州市饮食公司家属楼,"(城关区西关南关)永昌路126号, 永昌路134-136号, 永昌路120-122号",12194,板楼,0.35至1元/平米/月,天庆物业,北京荣达伟业房地产开发有限公司,2栋,191户
