小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
昌盛楼,(南康区南康区)金赣北大道昌盛楼,3697,未知类型,暂无信息,暂无信息,暂无信息,1栋,38户
金穗花园,(南康区南康区)东风东路55号,3700,平房,暂无信息,暂无信息,暂无信息,1栋,12户
通站大道开发小区M区,(南康区南康区)通站大道开发小区M区,3413,板楼,暂无信息,暂无信息,暂无信息,1栋,5户
卫生局家属楼,(南康区南康区)东门北路卫生局家属楼,3205,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
月芽路1-239号,(赣县区赣县区)月芽路1-239号,3150,未知类型,暂无信息,暂无信息,暂无信息,1栋,9户
姚衙前,(章贡区老城区)姚衙前80号,3577,平房,1.3至1.4元/平米/月,暂无信息,暂无信息,2栋,5户
蔚景华城,(安远县安远县)新溪路蔚景华城,3582,未知类型,暂无信息,暂无信息,暂无信息,3栋,248户
安康楼,(南康区南康区)旭山南路安康楼,3033,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
黄竹路,(于都县于都县)黄竹路,5512,未知类型,暂无信息,暂无信息,暂无信息,2栋,11户
城建家属房,(南康区南康区)江西省赣州市南康区蓉江街道金赣大道,3782,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
金桥路52号,(南康区南康区)金桥路52号,2696,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
双龙大道,(赣县区赣县区)双龙大道,3198,未知类型,暂无信息,暂无信息,暂无信息,5栋,100户
日豪花园,(安远县安远县)三百山大道日豪花园,3437,未知类型,暂无信息,暂无信息,暂无信息,15栋,451户
水果市场小区,(南康区南康区)泰康西路水果市场小区,3664,塔楼/板楼,暂无信息,暂无信息,暂无信息,7栋,112户
金桥花园(赣江路),(章贡区老城区)赣江路金桥花园,5732,板楼,0.5元/平米/月,暂无信息,赣州鑫群置业有限公司,11栋,526户
怡景苑(南康区),(南康区南康区)金河一路32号,4846,塔板结合,暂无信息,暂无信息,暂无信息,1栋,21户
裕隆花园,(赣县区赣县区)赣新大道91号,5468,未知类型,暂无信息,暂无信息,暂无信息,4栋,204户
廣場山莊,(赣县区赣县区)广场路1号,5558,未知类型,暂无信息,暂无信息,暂无信息,9栋,115户
接官亭小区,(南康区南康区)府后路接官亭小区,5562,平房,0.5元/平米/月,暂无信息,江西新城建设开发有限公司,8栋,162户
文化路商住楼,(南康区南康区)慈航路文化路商住楼,5053,平房,暂无信息,暂无信息,暂无信息,5栋,16户
名仕豪苑,(赣县区赣县区)双龙大道4号,5409,未知类型,暂无信息,暂无信息,暂无信息,5栋,84户
赣州市赣县区林业局,(赣县区赣县区)燕塘路赣州市赣县区林业局,5552,未知类型,暂无信息,暂无信息,暂无信息,4栋,86户
梅林花园小区,(赣县区赣县区)梅林大街80号,4853,未知类型,暂无信息,暂无信息,暂无信息,3栋,6户
文明大道76号,(章贡区老城区)文明大道76号,5500,板楼,0.6元/平米/月,小区委员会自管,赣州航城置业有限公司,2栋,97户
嘉和苑,(赣县区赣县区)站前大道嘉和苑,5450,未知类型,暂无信息,暂无信息,暂无信息,2栋,140户
怡然居,(南康区南康区)蓝田大道131号,5183,板楼/塔板结合,暂无信息,暂无信息,暂无信息,4栋,403户
翠竹苑住宅小区,(南康区南康区)东山北路51号,4892,平房,暂无信息,暂无信息,暂无信息,2栋,148户
关刀坪10号院,(章贡区老城区)关刀坪路10号,5394,板楼,0.5元/平米/月,小区委员会自管,合肥万科金湾地产有限公司,2栋,29户
商茂北路32号,(章贡区蓉江新区)商茂北路32号,5011,板楼,暂无信息,无物业管理服务,暂无信息,1栋,1户
金龙小区,(南康区南康区)工业大道金龙小区,4264,平房,暂无信息,暂无信息,暂无信息,3栋,149户
榕城花苑,(南康区南康区)西南城墙路18号,4899,板楼/平房,暂无信息,暂无信息,暂无信息,6栋,126户
东胜山17号,(章贡区老城区)东胜山17号,5345,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
红环路18号,(章贡区老城区)红环路18号,4758,板楼,1元/平米/月,暂无信息,暂无信息,4栋,114户
东胜山路54号,(章贡区老城区)东胜山路54号,4866,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
天德铭扬,(宁都县宁都县)登峰大道天德铭扬,5691,未知类型,暂无信息,暂无信息,暂无信息,4栋,33户
奥园迎宾花园,(龙南县龙南县)迎宾大道奥园迎宾花园,5006,未知类型,暂无信息,暂无信息,暂无信息,9栋,539户
御景山庄,(上犹县上犹县)御景路9号,5692,未知类型,0.5元/平米/月,暂无信息,暂无信息,54栋,1678户
世纪豪苑,(安远县安远县)九龙大道世纪豪苑,5542,未知类型,暂无信息,暂无信息,暂无信息,10栋,337户
电力公司住宅楼,(赣县区赣县区)梅林大街电力公司住宅楼,5020,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
三中安置区,(赣县区赣县区)燕塘北路三中安置区,4778,未知类型,暂无信息,暂无信息,暂无信息,12栋,1660户
八一四大道18号,(章贡区老城区)八一四大道18号,4899,平房,暂无信息,暂无信息,暂无信息,1栋,14户
鑫业大道西侧开发带B3-1号,(赣县区赣县区)鑫业大道西侧开发带B3-1号,4280,板楼,暂无信息,暂无信息,暂无信息,1栋,5户
八境路5号,(章贡区老城区)八境路5号,4776,板楼,暂无信息,暂无信息,暂无信息,1栋,42户
花园新村,(赣县区赣县区)红金大道花园新村,5421,未知类型,暂无信息,暂无信息,暂无信息,18栋,475户
官园里5号,(章贡区老城区)官园里5号,5415,板楼/平房,1.5元/平米/月,中海宏洋物业管理有限公司,吉林省中创置业有限公司,2栋,138户
大公路91号,(章贡区老城区)大公路91号,5769,塔楼/塔板结合,10元/平米/月,暂无信息,赣州航城置业有限公司,2栋,84户
日景国际花城,(瑞金市瑞金市)龙珠路280号,5038,未知类型,暂无信息,暂无信息,暂无信息,13栋,412户
闽鸿棕蓝海,(瑞金市瑞金市)红都大道东闽鸿棕蓝海,5293,未知类型,暂无信息,暂无信息,暂无信息,11栋,428户
健康路49号,(章贡区老城区)健康路49号,5751,平房,0.3元/平米/月,暂无信息,赣州航城置业有限公司,2栋,21户
健康路53号,(章贡区老城区)健康路53号,5715,板楼,0.3元/平米/月,暂无信息,暂无信息,5栋,80户
生佛坛前3号,(章贡区老城区)生佛坛前3号,4982,板楼,3元/平米/月,暂无信息,山西中中房地产开发有限公司,2栋,63户
东胜山路50号,(章贡区老城区)东胜山路50号,5681,板楼/平房,0.8元/平米/月,暂无信息,暂无信息,2栋,44户
文明大道84号小区,(章贡区老城区)文明大道84号,5738,板楼,1元/平米/月,暂无信息,暂无信息,4栋,94户
赣江路17号,(章贡区老城区)赣江路17号,5045,板楼/平房,0.5元/平米/月,暂无信息,"""温州育英房地产开发有限公司",3栋,88户
健康路1号,(章贡区老城区)健康路1号,5723,塔板结合,20元/平米/月,暂无信息,赣州航城置业有限公司,1栋,48户
生佛坛前7号,(章贡区老城区)生佛坛前7号,5810,平房,30元/平米/月,暂无信息,赣州昌泰资产管理有限公司,1栋,35户
大公路109号,(章贡区老城区)大公路109号,5804,塔板结合,10元/平米/月,暂无信息,赣州航城置业有限公司,1栋,42户
和平路35号,(章贡区老城区)和平路35号,3906,平房,1元/平米/月,暂无信息,中弘地产,1栋,22户
厚德路78号,(章贡区老城区)厚德路78号,5653,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,27户
临江楼,(章贡区老城区)东郊路56号,5716,板楼,1元/平米/月,暂无信息,河南中中置业有限公司,1栋,28户
文明大道18号,(章贡区老城区)文明大道18号,6286,板楼/平房,0.5元/平米/月,暂无信息,赣州市赣县区佳辉房地产有限公司,2栋,55户
马扎巷29号,(章贡区老城区)马扎巷29号,5803,平房,0.6元/平米/月,暂无信息,赣州航城置业有限公司,1栋,48户
纸巷10号,(章贡区老城区)纸巷10号,5520,板楼/平房,暂无信息,暂无信息,赣州市章贡佳和置业有限公司,2栋,52户
红旗大道61号,(章贡区老城区)红旗大道61号,5823,板楼/平房,0.5元/平米/月,暂无信息,乾界置业,8栋,257户
桥儿口1号,(章贡区老城区)桥儿口1号,5637,平房,暂无信息,暂无信息,中海地产,1栋,28户
八一四大道25号,(章贡区老城区)八一四大道25号,5049,板楼,0.5元/平米/月,暂无信息,赣州昌泰资产管理有限公司,2栋,37户
龙珠花园,(龙南县龙南县)龙翔大道龙珠花园,5145,未知类型,暂无信息,暂无信息,暂无信息,3栋,180户
官亭花园,(南康区南康区)东门南路与府后路交叉口西100米,5539,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
金泰花园小区,(南康区南康区)文峰路金泰花园小区,4489,平房,暂无信息,暂无信息,暂无信息,3栋,203户
新芙蓉花园,(南康区南康区)工业大道285号,4808,塔板结合,1.2元/平米/月,赣州嘉联物业有限公司,赣州昌泰资产管理有限公司,2栋,104户
佳兴苑,(南康区南康区)工业大道佳兴苑,4956,平房,暂无信息,暂无信息,暂无信息,3栋,84户
金赣小区,(南康区南康区)金赣大道金赣小区,5475,板楼/平房,0.6至0.8元/平米/月,彩生活物业有限公司,宏康房地产开发有限公司,17栋,560户
昌盛花园,(南康区南康区)江西路28号,5181,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,91户
金城小区,(南康区南康区)通站大道4号,4888,板楼,暂无信息,暂无信息,暂无信息,2栋,157户
康定路24号,(章贡区老城区)康定路24号,4395,未知类型,暂无信息,暂无信息,暂无信息,1栋,14户
食品城小区,(南康区南康区)宝林路食品城小区,4076,板楼,暂无信息,暂无信息,暂无信息,3栋,111户
果品市场家属院,(章贡区站北区)沙河大道果品市场家属院,5235,未知类型,暂无信息,暂无信息,暂无信息,3栋,50户
赣新大道,(赣县区赣县区)赣新大道,5713,未知类型,暂无信息,暂无信息,暂无信息,5栋,50户
大公路88号,(章贡区老城区)大公路88号,5403,塔板结合,1元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,1栋,49户
华南新城,(会昌县会昌县)公园路华南新城,4776,板楼,30元/平米/月,暂无信息,江西优乐汇实业有限公司,22栋,805户
红旗大道72号,(章贡区老城区)红旗大道72号,5801,塔板结合/平房,0.5元/平米/月,无物业管理服务,大连红旗谷置业有限公司,2栋,15户
八一四大道17号,(章贡区老城区)八一四大道17号,5710,塔楼,6元/平米/月,暂无信息,赣州昌泰资产管理有限公司,2栋,64户
森铁小巷,(章贡区老城区)森铁小巷,4434,板楼,1元/平米/月,暂无信息,金辉集团,1栋,24户
桃江花园,(信丰县信丰县)塔下路18号,5836,塔板结合,0.8元/平米/月,暂无信息,无,1栋,72户
文清花园,(章贡区老城区)大公路文清花园,5119,塔楼/板楼,2.2元/平米/月,暂无信息,赣州航城置业有限公司,2栋,44户
荷包塘18号,(章贡区老城区)荷包塘18号,5231,平房,暂无信息,暂无信息,暂无信息,1栋,32户
东郊路18号,(章贡区老城区)东郊路18号,5798,塔板结合,10.6元/平米/月,暂无信息,无开发商,1栋,42户
曾家巷,(章贡区老城区)解放路曾家巷,5648,板楼,11元/平米/月,暂无信息,金广物业,1栋,36户
张家围路16号,(章贡区老城区)张家围路16号,5120,平房,暂无信息,暂无信息,暂无信息,2栋,66户
丹桂井,(章贡区老城区)丹桂井,5423,板楼/平房,0.6元/平米/月,暂无信息,暂无信息,3栋,53户
康定路15号,(章贡区老城区)康定路15号,5733,平房,暂无信息,暂无信息,暂无信息,1栋,2户
青年路32号,(章贡区老城区)青年路32号,5460,未知类型,暂无信息,暂无信息,暂无信息,2栋,62户
金鸡电信家属楼,(南康区南康区)泰康东大道金鸡电信家属楼,3971,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
南京路29号,(章贡区老城区)南京路29号,5001,塔板结合,暂无信息,无物业管理服务,暂无信息,2栋,3户
站东大道58号,(章贡区站北区)站北区站东路58号5号楼601室,5125,平房,暂无信息,暂无信息,暂无信息,2栋,38户
鼎都名苑小区,(南康区南康区)工业大道266号,3964,平房,0.6元/平米/月,暂无信息,暂无信息,1栋,84户
南河路11号,"(章贡区老城区)南河路11-4号, 南河路11号",5838,塔板结合,1元/平米/月,宏鑫物业,河南中中置业集团有限公司,2栋,96户
东胜山路58号,(章贡区老城区)东胜山路58号,5469,平房,2.6元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,4栋,73户
文明大道68号巷,(章贡区老城区)文明大道68号巷,5005,塔板结合,1元/平米/月,燕兴物业,赣州昌泰资产管理有限公司,1栋,48户
健康路1号,(章贡区老城区)健康路1号,5723,塔板结合,20元/平米/月,暂无信息,赣州航城置业有限公司,1栋,48户
厚德路78号,(章贡区老城区)厚德路78号,5653,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,27户
洪城巷3号,(章贡区老城区)洪城巷3号,5713,板楼,6元/平米/月,暂无信息,城建,1栋,56户
栎木坑路128号,(章贡区老城区)栎木坑路128号,5401,板楼,1元/平米/月,广东美的物业管理股份有限公司,金广物业,2栋,35户
红旗大道34号,(章贡区老城区)红旗大道34号,5852,塔板结合,暂无信息,暂无信息,暂无信息,1栋,31户
理工巷,(章贡区黄金开发区)理工巷,5291,塔楼/板楼/塔板结合,1元/平米/月,暂无信息,赣州市赣县区佳辉房地产有限公司,13栋,219户
营角上15号,(章贡区老城区)营角上15号,5339,平房,0.5元/平米/月,暂无信息,江西华夏置业有限公司,1栋,56户
东郊路91号4巷,(章贡区老城区)东郊路91号,5242,板楼,1.4元/平米/月,暂无信息,江西华夏置业有限公司,3栋,114户
厚德路47号,"(章贡区老城区)厚德路47号,厚德路43-47号",4631,平房,10元/平米/月,暂无信息,赣州航城置业有限公司,1栋,35户
花生坪3号,(章贡区老城区)储运路花生坪3号,5538,板楼,1.6元/平米/月,暂无信息,赣州国强房地产开发有限公司,2栋,57户
五龙路3-6号,(章贡区老城区)五龙路3-6号,4794,板楼,暂无信息,暂无信息,暂无信息,2栋,15户
江边巷,(章贡区黄金开发区)江边巷,4797,塔板结合,2.6元/平米/月,江西华润物业有限公司,碧桂园,7栋,92户
南康站前家园,(南康区南康区)工业大道南康站前家园,4722,塔板结合,暂无信息,暂无信息,暂无信息,2栋,136户
迎宾花苑,(南康区南康区)工业四路1号,5066,塔板结合,暂无信息,暂无信息,暂无信息,1栋,126户
红金大道1号,(赣县区赣县区)红金大道1号,4256,未知类型,暂无信息,暂无信息,暂无信息,1栋,6户
老国税局家属楼,(南康区南康区)泰康西路老国税局家属楼,4468,塔板结合,暂无信息,暂无信息,暂无信息,1栋,16户
泰康东大道143号,(南康区南康区)泰康东大道143号,5098,板楼,暂无信息,暂无信息,暂无信息,1栋,12户
红旗大道52号,(章贡区老城区)红旗大道52号,5521,板楼,暂无信息,暂无信息,暂无信息,2栋,37户
龙事达小区,(南康区南康区)金赣大道龙事达小区,4913,塔板结合,暂无信息,暂无信息,暂无信息,5栋,118户
洪城巷6号,(章贡区老城区)洪城巷6号,5648,未知类型,暂无信息,暂无信息,暂无信息,1栋,37户
民政楼,(赣县区赣县区)富商街民政楼,4338,未知类型,暂无信息,暂无信息,暂无信息,1栋,10户
燕塘中路4号,(赣县区赣县区)燕塘中路4号,5141,未知类型,暂无信息,暂无信息,暂无信息,1栋,26户
货长路,(赣县区赣县区)货长路,4508,板楼,2.7元/平米/月,暂无信息,暂无信息,1栋,48户
大公路56号,(章贡区老城区)大公路56号,5131,平房,暂无信息,暂无信息,暂无信息,1栋,6户
人民保险宿舍,(章贡区老城区)红旗大道3号,5550,板楼,暂无信息,暂无信息,暂无信息,2栋,141户
